pergunta;alternativas;resposta_certa;alternativa_1;alternativa_2;alternativa_3;embaralhar
Qual é o primeiro nome do presidente da França, Macron?;4;Emmanuel;Nicolas;Jacques;Pierre;N
Curral, Quintal, Capoeira. Qual desses é uma dança e arte marcial?;5;C;Capoeira;Capoeira;Capoeira;N
Tênis, Atletismo, Futebol. Em que esporte se destaca Rafael Nadal?;5;A;Tênis;A;A;N
Açores, Fernando de Noronha, Cabinda. Qual é o arquipélago pertencente a Portugal?;5;A;Açores;Açores;Açores;N
"Agudo, Grave, Circunflexo. Qual é o acento da palavra ""avô""?";5;C;Circunflexo;C;C;N
Riade, Nova Déli, Dacar. Qual é a capital da Índia?;5;B;Nova Déli;B;B;N
Topázio, Diamante, Quartzo. Qual é o mineral mais duro?;5;B;Diamante;B;B;N
5, 6, 7. Quantas pontas tem a Estrela de Davi?;5;B;6;B;B;N
Quantos livros, no total, possui a Bíblia Sagrada, sem contar os apócrifos?;4;66 livros;62 livros;71 livros;58 livros;N
Qual destes nomes não se refere a um dos Reis Magos, segundo a tradição católica?;3;Beltesazar;Gaspar;Melchior;-;N
Como eram chamados os antigos governantes da Rússia?;3;Czares;Kaisers;Imperadores;-;N
"Qual verbo significa ""cantar ou recitar salmos""?";3;Salmodiar;Salmoar;Salmoviar;-;N
Qual é o nome da Casa Real Britânica?;4;Windsor;Mountbatten;Tudor;Stuart;N
Em que cidade o arquiduque da Áustria-Hungria Francisco Ferdinando foi morto, iniciando a 1ª Guerra Mundial?;4;Sarajevo;Belgrado;Zagreb;Tirana;N
Esporte, Moda, Culinária. Qual é o tema principal do programa MasterChef?;5;C;Culinária;C;C;N
O que faz o carneiro?;4;Bale;Relincha;Regouga;Grasna;N
O que faz o morcego?;3;Farfalha;Grunhe;Sibila;-;N
Quanto é o seno de 60°?;3;√3/2;1/2;√2/2;-;N
Quanto é a tangente de 45°?;3;1;√3;√3/3;-;N
Quanto é o cosseno de 60°?;3;1/2;√2/2;√3/2;-;N
Oxford, Yale, Cambridge. Qual destas universidades renomadas está nos Estados Unidos?;5;B;Yale;B;B;N
Câncer, Áries, Sagitário. O carneiro é símbolo de qual signo do zodíaco?;5;B;Áries;B;B;N
Qual destes nomes é um nome coreano?;4;Yang Hak-Seon;Guanyu Zhou;Kaoru Mitoma;Lee Junfan;N
"Qual destes heróis da Marvel NÃO foi morto no estalar de dedos do Thanos em ""Vingadores: Guerra Infinita""?";4;Viúva Negra;Homem-Aranha;Pantera Negra;Feiticeira Escarlate;N
No Universo Cinematográfico da Marvel, quem interpreta o herói Visão?;4;Paul Bettany;Evan Peters;Josh Brolin;Sebastian Stan;N
Em qual filme do Universo Cinematográfico da Marvel ocorre a abertura do multiverso?;4;"""Sem Volta Para Casa""";"""Multiverso da Loucura""";"""Longe de Casa""";"""Ultimato""";N
Michelle Jones, Mary-Jane, Gwen. Qual é o nome da personagem de Zendaya no Universo Cinematográfico Marvel?;5;A;Michelle;Michelle;Michelle;N
Veneza, Roma, Gênova. Em que cidade nasceu Cristóvão Colombo?;5;C;Gênova;Genova;Genoa;N
"Chaves, Quico, Seu Madruga. Qual personagem de ""Chaves"" era interpretado por Carlos Villagrán?";5;B;Quico;Quico;Quico;N
"Between, Under, Above. Qual preposição inglesa signfica ""acima""?";5;C;Above;Above;Above;N
Charles, Harry, William. Quem é o rei da Inglaterra após a morte de Elizabeth II?;5;A;Charles;Charles;Charles;N
Irlanda, Irlanda do Norte, País de Gales. Qual país não pertence ao Reino Unido?;5;A;Irlanda;Irlanda;Irlanda;N
Verdadeiro, Falso ou Indeterminado. O número 1 é um número primo?;5;B;Falso;Falso;Falso;N
Flúor, Lítio, Xenônio. Qual destes é um gás nobre?;5;C;Xenônio;Xenônio;Xenônio;N
Flamengo, Vasco da Gama, Botafogo. Qual é o time do coração do streamer Casimiro?;5;B;Vasco;Vasco;Vasco;N
"EA Sports, Konami, Sega. Quem publicava a série de jogos de futebol ""FIFA""?";5;A;EA Sports;EA Sports;EA Sports;N
R2D2, C3PO, BB-8. Qual é o robô que aparece pela primeira vez no episódio 7 de Star Wars?;5;C;BB-8;BB-8;BB-8;N
Sonserina, Corvinal, Lufa-Lufa. Os inteligentes e criativos pertencem a qual casa de Hogwarts?;5;B;Corvinal;Corvinal;Corvinal;N
Boca Juniors, River Plate, Independiente. Qual time argentino tem mais títulos da liga?;5;B;River Plate;River Plate;River Plate;N
Rússia, Noruega, Estados Unidos. Em que país nasceu o campeão mundial de xadrez Magnus Carlsen?;5;B;Noruega;Noruega;Noruega;N
Rosas, Rochas, Raios. O que estuda a rodologia?;5;A;Rosas;Rosas;Rosas;N
11, 12, 13. Quantas cartas cada naipe possui?;5;C;13;13;13;N
Em qual destes países não encontramos o Deserto do Saara?;4;Angola;Líbia;Mali;Argélia;N
"Em que ano estreou no SBT o lendário programa ""Show do Milhão""?";4;1999;1997;2002;2001;N
Qual é o plural de guarda-civil?;4;Guardas-civis;Guarda-civis;Guardas-civil;Guardas-cíveis;N
Qual ator interpreta o Aquaman no universo estendido da DC?;4;Jason Momoa;Ben Affleck;Zachary Levi;Henry Cavill;N
Bailarina, Fotógrafa, Tenista. Qual era a profissão de Ana Botafogo?;5;A;Bailarina;Bailarina;Bailarina;N
"Na série de filmes ""Animais Fantásticos e Onde Habitam"", qual é a casa de Hogwarts de Newt Scamander?";3;Lufa-Lufa;Corvinal;Grifinória;-;N
49, 54, 56. Quanto é 7x8?;5;C;56;56;56;N
1/4, 2/5, 3/4. Quanto dá 1/2 + 1/4?;5;C;3/4;3/4;3/4;N
Quem foi o primeiro dublador dos personagens de Roberto Gómez Bolaños, como Chaves e Chapolin?;3;Marcelo Gastaldi;Daniel Müller;Tatá Guarnieri;-;N
Em qual destes lugares não existem pinguins?;3;Ártico;Antártica;África do Sul;-;N
"Como fica conjugado o verbo ""comer"" na 2ª pessoa do singular do imperativo afirmativo?";3;Come tu;Coma tu;Comei tu;-;N
Taoísmo, Hinduísmo, Budismo. A doutrina do zen é parte de qual religião?;5;C;Budismo;Budismo;Budismo;N
Riqueza, Pobreza, Castidade. Qual destes não é um voto religioso?;5;A;Riqueza;Riqueza;Riqueza;N
A Rússia herdou o seu brasão de águia bicefála de qual antigo império?;4;Bizantino;Romano;Otomano;Chinês;N
Qual dos seguintes países não é uma monarquia?;4;Finlândia;Dinamarca;Suécia;Noruega;N
Qual ator interpretou Harry Potter na série de filmes homônima?;3;Daniel Radcliffe;Rupert Grint;Matthew Lewis;-;N
Na astronomia, qual destes termos significa uma nuvem gigante de poeira e gás no espaço?;4;Nebulosa;Pulsar;Quasar;Supernova;N
Quais foram as medalhas conquistadas por Rebeca Andrade nas Olimpíadas de Tóquio?;3;Ouro e prata;Dois ouros;Duas pratas;-;N
Reino Unido, França, Portugal. Hong Kong era território de qual país antes de ser devolvido à China?;5;A;Reino Unido;Reino Unido;Reino Unido;N
Qual piloto brasileiro foi campeão da Fórmula 2 em 2022?;3;Felipe Drugovich;Enzo Fittipaldi;Sérgio Sette Câmara;-;N
Toleman, Alfa Romeo, Tyrrell. Por qual equipe Ayrton Senna estreou na Fórmula 1?;5;A;Toleman;Toleman;Toleman;N
Pritzker, Pulitzer, Puskás. Qual é o prêmio dado ao gol mais bonito do ano?;5;C;Puskás;C;C;N
Isaac Newton, Nikola Tesla, Alessandro Volta. Quem criou a pilha elétrica?;5;C;Volta;C;C;N
Qual é o apelido do arqueólogo da ficção Henry Jones Jr.?;3;Indiana;Illinois;Ohio;-;N
O que é Linkin Park?;3;Uma banda de rock;Um estádio de futebol;Um parque de NY;-;N
"O que significa ""kamikaze""?";4;Vento divino;Autodestruição;Ataque final;Ofensiva;N
"No começo dos filmes da Pixar, o que costuma entrar no lugar da letra ""I"" em Pixar?";4;Luminária de mesa;Lápis;Régua;Pincel;N
ABC, BBC, NBC. Qual é a rede pública de rádio e televisão do Reino Unido?;5;B;BBC;BBC;BBC;N
@, #, &. Qual destes você usa para mencionar alguém nas redes sociais?;5;A;@;@;@;N
"Círculo, Triângulo, Quadrado. Qual é o formato da placa de ""Dê a Preferência""?";5;B;Triângulo;Triângulo;Triângulo;N
"A palavra ""fondue"" vem do francês, significando qual palavra?";4;Derreter;Queijo;Chama;Fumaça;N
Qual destas bandas tem um de seus sucessos começando com um fragmento da Marselhesa, o hino da França?;3;Beatles;Pink Floyd;Queen;-;N
Qual dos seguintes países não pertencia à Iugoslávia?;4;Eslováquia;Sérvia;Croácia;Eslovênia;N
Qual é a moeda oficial do Peru?;3;Novo sol;Peso;Bolívar;-;N
El Cid, El Paso, El Dorado. Qual destes é uma cidade lendária de ouro e riquezas?;5;C;El Dorado;El Dorado;El Dorado;N
Qual pintor tinha o título de Marquês de Púbol?;3;Salvador Dalí;Pablo Picasso;El Greco;-;N
Luciano Pavarotti, Placido Domingo, José Carreras. Qual dos Três Tenores nasceu na Itália?;5;A;Luciano Pavarotti;Luciano Pavarotti;Luciano Pavarotti;N
Qual é o nome oficial do Brasil?;4;Rep. Federativa do Brasil;República Brasileira;Rep. Democrática do Brasil;Estados Unidos do Brasil;N
Janeiro, Fevereiro, Março. Em que mês os deputados e senadores eleitos tomam posse?;5;B;Fevereiro;Fevereiro;Fevereiro;N
21, 22, 23. Qual era o número usado pelo lendário Michael Jordan?;5;C;23;23;23;N
Ofélia, Cecília, Amélia. Quem é o interesse amoroso de Hamlet?;5;A;Ofélia;Ofélia;Ofélia;N
Líbia, Marrocos, Sudão. Trípoli é a capital de qual país?;5;A;Líbia;Líbia;Líbia;N
Qual jogo é 100% atualizado, ruim de aturar, virou moda e todo mundo quer jogar?;3;Bomba Patch;Brazukas;Fifamania;-;N
Por que Heróstrato pôs fogo no Templo de Ártemis, em Éfeso?;4;Queria fama;Irou-se com a deusa;Queria provar seu amor;Guerreava vs. Éfeso;N
Em que cidade se localiza o Taj Mahal?;4;Agra;Nova Déli;Hyderabad;Bombaim;N
Que tecnologia descentralizada foi concebida por um programador anônimo conhecido como Satoshi Nakamoto?;3;Blockchain;Git;Computação na nuvem;-;N
Qual é a especialidade de um nefrologista?;4;Rins;Pulmão;Coração;Vesícula;N
Em que esporte as irmãs Judit, Susan e Sofia Polgar eram jogadoras de destaque?;4;Xadrez;Badminton;Tênis;Natação;N
No braile, qual letra é representada por apenas um ponto?;3;A;E;I;-;123
O que dá às plantas sua coloração verde?;3;Clorofila;Cálcio;Carbono;-;N
Ernesto Che Guevara tinha um diploma em qual curso?;4;Medicina;Direito;Economia;Filosofia;N
"Complete o nome do livro de Nietzsche: ""Assim falou...""?";3;Zaratustra;Zapruder;Zenom;-;N
Quantas ilhas possui a Indonésia?;4;Mais de 17.500;4;12;253;N
Em, Aí, Que. Qual destas palavras é considerada uma preposição?;5;A;Em;-;-;N
30, 50, 70. Quantos países considerados estados soberanos temos na Europa?;5;B;50;-;-;N
Em que grupo feminino participava Beyoncé Knowles?;3;Destiny's Child;Sugarbabes;The Bangles;-;N
Qual destas óperas foi composta por Mozart?;4;As Bodas de Fígaro;La Bohème;Madame Butterfly;Tosca;N
Prado, Ermitage, Louvre. Em que museu está a Mona Lisa?;5;C;Louvre;-;-;N
"Qual é o casal retratado no livro de Camilo Castelo Branco ""Amor de Perdição""?";3;Simão e Teresa;Dante e Beatriz;Tristão e Isolda;-;N
Texas, Califórnia, Flórida. Onde fica o Cabo Canaveral, famoso pelos programas espaciais?;5;C;Flórida;Flórida;Flórida;N
Só um destes países não faz fronteira com a China. Qual?;4;Bangladesh;Nepal;Cazaquistão;Mongólia;N
10, 15, 25. Quanto é 5x5?;5;C;25;25;25;N
Onde Abraham Lincoln foi assassinado?;3;Num teatro;No congresso;Num comício;-;N
"Caracol, Morcego ou Formiga. O que é um ""escargot""?";5;A;Caracol;-;-;N
Fósseis, Linguagens, Estrelas. O que estuda a paleontologia?;5;A;Fósseis;-;-;N
França, Mônaco, Bélgica. Em que país nasceu o piloto da Ferrari, Charles Leclerc?;5;B;Mônaco;-;-;N
"Segundo a Academia Brasileira de Letras, qual é a única forma correta de aportuguesar o nome do queijo ""mozzarella""?";3;Muçarela;Mussarela;Ambos aceitos;-;123
Onde nasce o rio Uruguai?;4;Brasil;Uruguai;Paraguai;Chile;N
Gênesis, Salmos, Mateus. Qual é o primeiro livro do Antigo Testamento?;5;A;Gênesis;-;-;N
Mutantes, Tropicália, Secos & Molhados. Rita Lee era integrante de qual grupo musical?;5;A;Mutantes;-;-;N
Gilette, Da Vinci, Tessorini. Quem inventou a tesoura?;5;B;Da Vinci;-;-;N
Suíça, Suécia, Bélgica. Qual país tem como capital Bruxelas?;5;C;Bélgica;-;-;N
Que parte do corpo a cobra usa para sentir o cheiro?;3;Língua;Cauda;Dentes;-;N
Qual é a única letra que não está presente em nenhum elemento da tabela periódica?;4;J;V;Q;X;N
A Revolução de 30, liderada por Getúlio Vargas, impediu a posse de qual presidente eleito?;4;Júlio Prestes;Washington Luís;Venceslau Brás;Nilo Peçanha;N
"A expressão ""labareda de fogo"" é classificada como o quê?";3;Pleonasmo;Eufemismo;Prosopopeia;-;N
Nariz, Garganta, Ouvido. A otite é uma inflamação em que parte do corpo humano?;5;C;Ouvido;-;-;N
Espírito Santo, Alagoas, Sergipe. Qual é o menor estado brasileiro?;5;C;Sergipe;-;-;N
Qual é a especialidade de um datiloscopista?;3;Impressões digitais;Datilografia;Datas comemorativas;-;N
"Qual jogador de futebol era conhecido como ""Canhotinha de Ouro""?";4;Gérson;Garrincha;Rivelino;Zico;N
Que nação admitiu ter aceitado o ouro dos judeus roubado pelos nazistas?;3;Suíça;Estados Unidos;Luxemburgo;-;N
Qual gigante europeu foi treinado por Vanderlei Luxemburgo?;4;Real Madrid;Juventus;Bayern de Munique;Manchester United;N
Em que ano afundou o Titanic?;3;1912;1918;1928;-;N
França, Portugal, Espanha. Salazar foi ditador de qual país?;5;B;Portugal;-;-;N
Mato Grosso, Goiás, Roraima. Em que estado está localizado o Parque Nacional do Xingu?;5;A;Mato Grosso;-;-;N
Qual foi o primeiro presidente eleito por voto popular na Rússia?;3;Boris Iéltsin;Vladimir Putin;Dmitri Medvedev;-;N
Com quantos pães Jesus Cristo alimentou os 5.000?;4;Cinco;Três;Quatro;Dois;N
Quantos pares de cromossomos possui um ser humano sadio?;4;23 pares;46 pares;21 pares;22 pares;N
Qual piloto foi o companheiro de Ayrton Senna na McLaren depois de Alain Prost?;3;Gerhard Berger;Satoru Nakajima;Damon Hill;-;N
Marechal Deodoro, Barão de Mauá, Duque de Caxias. Quem é o patrono do Exército Brasileiro?;5;C;Duque de Caxias;-;-;N
Áries, Virgem, Capricórnio. Qual é o signo do zodíaco de quem nasce no ano novo?;5;C;Capricórnio;-;-;N
57 anos, 67 anos, 76 anos. De quantos em quantos anos aparece o Cometa Halley?;5;C;76 anos;-;-;N
Geriatria, Pediatria, Infantologia. Qual é a área da medicina que trata as crianças?;5;B;Pediatria;-;-;N
Mestre, Dunga, Zangado. Qual dos sete anões usa óculos?;5;A;Mestre;-;-;N
"Caju, Abóbora, Chuchu. Qual fruto é chamado de ""jerimum"" no Norte e Nordeste?";5;B;Abóbora;-;-;N
Costa e Silva, Geisel, Figueiredo. Quem foi o último presidente militar do Brasil?;5;C;Figueiredo;-;-;N
Em que ano Hong Kong voltou a ser parte da China?;4;1997;1993;2001;1988;N
Quais letras simbolizam o número 98 em algarismos romanos?;4;XCVIII;CXXXXVIII;LXXXVIII;XCIX;N
"Maestra, Maestrina, Mastrina. Qual é o feminino de ""maestro""?";5;B;Maestrina;-;-;N
Em que estado se localizava Canudos, local da famosa guerra de nome homônimo?;3;Bahia;Pernambuco;Rio Grande do Norte;-;N
Portugal, Cabo Verde, Guiné-Bissau. Em que país nasceu o secretário-geral da ONU, António Guterres?;5;A;Portugal;-;-;N
"Cachorro, Porco, Gato. Que animal era o ""Manda-Chuva"", nos desenhos animados?";5;C;Gato;-;-;N
Brutus, Dudu, Zezinho. Qual é o amigo do Popeye que ama comer hambúrguer?;5;B;Dudu;-;-;N
Qual político possui atualmente o recorde de mais votos recebidos para deputado federal?;3;Eduardo Bolsonaro;Tiririca;Enéas Carneiro;-;N
Paris, Londres, Berlim. Em que cidade acontece a história do Corcunda de Notre-Dame?;5;A;Paris;-;-;N
"Leônidas, Garrincha, Zagallo. Qual futebolista era conhecido como ""Diamante Negro""?";5;A;Leônidas;-;-;N
Hungria, Rússia, Romênia. Em que país nasceu a ginasta Nadia Comaneci?;5;C;Romênia;-;-;N
Mother, Father, Brother. Na língua inglesa, como se chama o pai?;5;B;Father;-;-;N
1806, 1822, 1889. Em que ano aconteceu a Independência do Brasil?;5;B;1822;-;-;N
Em que categoria estão enquadrados números como π (pi) e √2 (raiz de 2)?;4;Irracionais;Complexos;Racionais;Inteiros;N
"O que significa a palavra ""salamaleque"", que os árabes usam para se cumprimentar?";4;A paz esteja contigo;Que Alá te proteja;Deus te abençoe;Tudo bem com você?;N
Em que cidade do Brasil nasce um ludovicense?;3;São Luís;Salvador;Porto Velho;-;N
De quantos em quantos anos o Brasil promove seu censo demográfico?;3;10 anos;5 anos;15 anos;-;N
Qual é a função do chocalho da cobra cascavel?;3;Mecanismo de defesa;Ritual de acasalamento;Chamar os filhotes;-;N
"Qual é a acentuação tônica da palavra ""recorde""?";3;Paroxítona;Proparoxítona;Oxítona;-;N
"Quem é chamado de síndico na música ""W/Brasil"", do cantor Jorge Ben Jor?";4;Tim Maia;Roberto Carlos;Gilberto Gil;Chico Buarque;N
"Qual estado brasileiro tem o lema ""Liberdade ainda que tardia"" escrito em sua bandeira?";4;Minas Gerais;Paraná;Espírito Santo;Paraíba;N
A rupia é a moeda oficial de que país?;3;Índia;Rússia;Filipinas;-;N
Qual é o distúrbio de alguém que possui tricotilomania?;4;Arrancar fios de cabelos;Roer unhas;Falar sozinho;Morder os lábios;N
"Qual compositor é o autor da valsa ""Danúbio Azul"", uma das valsas mais populares e tocadas no mundo até hoje?";4;Strauss;Beethoven;Tchaikovsky;Chopin;N
"Qual atriz faz a personagem ""Chiquinha"" no seriado ""Chaves?";3;María A. de las Nieves;Angelines Fernández;Florinda Meza;-;N
"Qual ator fazia o personagem ""Super Sam"", herói que aparece em alguns episódios de Chapolin?";4;Ramón Valdez;Carlos Villagrán;Rúben Aguirre;Edgar Vivar;N
Qual planeta do nosso Sistema Solar possui a Grande Mancha Vermelha em sua atmosfera?;4;Júpiter;Vênus;Urano;Saturno;N
Qual foi o primeiro nome do esporte conhecido como voleibol?;3;Mintonette;Vonette;Ballonette;-;N
Gilgamesh foi um herói de qual mitologia?;4;Suméria;Grega;Índia;Egípcia;N
Quantos jogadores entram em campo por uma equipe de basquete?;3;5 jogadores;7 jogadores;6 jogadores;-;N
"Em que ano a União Soviética lançou seu satélite ""Sputnik-1""?";3;1957;1956;1950;-;N
Qual país sediou e venceu a primeira Copa do Mundo de Futebol, em 1930?;4;Uruguai;Argentina;Inglaterra;Itália;N
Natal, Palmas, Salvador. Qual é a capital do Tocantins?;5;B;Palmas;-;-;N
Economia, Direito, Sociologia. Em que é formado o ex-presidente Fernando Henrique Cardoso?;5;C;Sociologia;-;-;N
Bebida, Capacete, Arma. O que é um mosquete?;5;C;Arma;-;-;N
Judaísmo, Xintoísmo, Budismo. O purim é uma festa pertencente a qual religião?;5;A;Judaísmo;-;-;N
Wellington, Auckland, Canterbury. Qual é a capital da Nova Zelândia?;5;A;Wellington;-;-;N
Montreal, Ottawa, Toronto. Qual é a capital do Canadá?;5;B;Ottawa;-;-;N
Vanessa Menga, Patrícia Medrado, Maria Esther Bueno. Quem é considerada a maior tenista brasileira de sempre?;5;C;Maria Esther Bueno;-;-;N
1970, 1980, 1990. Em que ano John Lennon foi assassinado?;5;B;1980;-;-;N
Em que filme Charles Chaplin ironizou o nazismo?;4;O Grande Ditador;Tempos Modernos;A Lista de Schindler;Luzes da Ribalta;N
Qual é o triângulo que possui todos os seus lados diferentes?;3;Escaleno;Isósceles;Equilátero;-;N
Qual foi o movimento que em 1837 fundou o Estado Livre Bahiense?;4;Sabinada;Balaiada;Cabanada;Baianada;N
O que significa procrastinar?;3;Adiar;Procurar com afinco;Prevenir;-;N
Quem compôs a música do Hino da Independência?;4;D. Pedro I;Castro Alves;Manuel Bandeira;Carlos Gomes;N
Qual destes nomes não podemos associar à Intentona Comunista?;3;Plínio Salgado;Luís Carlos Prestes;Olga Benário;-;N
Qual o resultado de (2² - 4) x 5 + 2?;4;2;22;7;10;N
"Em espanhol, o que é ""un paso para peatones""?";3;Faixa de pedestres;Passeio pelo parque;Passagem pelo pedágio;-;N
Qual é o antônimo de malograr?;3;Conseguir;Desistir;Perder;-;N
"Como é chamado um ""cafezinho"" em Portugal?";3;Bica;Amarguinho;Curto;-;N
Qual é a idade mínima no Brasil para poder votar?;4;16 anos;18 anos;13 anos;21 anos;N
"O que significa a palavra ""pachorra""?";4;Lentidão;Agitação;Nervosismo;Um animal;N
Medula, Olhos, Ossos. A miopatia afeta qual parte do corpo?;5;B;Olhos;-;-;N
Que atriz protagonizou ao lado de Leonardo Di Caprio o filme Titanic?;4;Kate Winslet;Cameron Diaz;Catherine Zeta-Jones;Bridget Fonda;N
Qual John foi assassinado por Lee Harvey Oswald?;3;John Kennedy;John Lennon;John Wilkes Booth;-;N
Quem foi o assassino de Lee Harvey Oswald?;3;Jack Ruby;John Wilkes Booth;Pat Garrett;-;N
Onde é mais usado um sismógrafo?;4;Terremotos;Furacões;Maremotos;Tempestades;N
"Quem compôs ""As Quatro Estações""?";4;Antonio Vivaldi;Richard Wagner;Antonio Salieri;Johann Strauss;N
"Qual cantora da Jovem Guarda foi apelidada por Roberto Carlos de ""Queijinho de Minas""?";3;Martinha;Vanusa;Sylvinha Araújo;-;N
Qual presidente do Brasil foi responsável pela construção de Brasília?;4;Juscelino Kubitschek;Jânio Quadros;Getúlio Vargas;Eurico Gaspar Dutra;N
Cheia, Nova, Minguante. Segundo a lenda, em que fase da lua aparece o lobisomem?;5;A;Cheia;-;-;N
Por qual confederação jogam as seleções de Guiana e Suriname?;3;CONCACAF;CONMEBOL;UEFA;-;N
32, 48, 64. A partir de 2026, quantas seleções jogarão a Copa do Mundo de Futebol?;5;B;48;-;-;N
Qual foi o placar da vitória do Brasil sobre a Alemanha na final da Copa do Mundo de 2002, no Japão e na Coreia?;4;Dois a zero;Dois a um;Um a zero;Três a zero;N
Sexta-feira 13, Star Wars, O Poderoso Chefão. Qual destes filmes foi dirigido por Francis Ford Coppola?;5;C;O Poderoso Chefão;-;-;N
Um casal que vive 50 anos comemora que tipo de boda?;3;Ouro;Rubi;Diamante;-;N
Em que ano o presidente Getúlio Vargas se matou?;4;1954;1956;1964;1970;N
Moscou, Berlim, Varsóvia. Em que cidade está localizada a Praça Vermelha?;5;A;Moscou;-;-;N
"Na série da Nickelodeon ""Drake & Josh"", quem interpretava Megan, a irmã de Drake?";3;Miranda Cosgrove;Victoria Justice;Jennette McCurdy;-;N
Fêmur, Tíbia, Úmero. Como se chama o osso na coxa do homem?;5;A;Fêmur;-;-;N
Brasil, Portugal, Argentina. Carmem Miranda nasceu em que país?;5;B;Portugal;-;-;N
1908, 1918, 1930. Em que ano terminou a Primeira Guerra Mundial?;5;B;1918;-;-;N
Alexandre III, Paulo I, Nicolau II. Quem foi o último czar russo?;5;C;Nicolau II;-;-;N
O deus hindu Ganesha é geralmente retratado com a cabeça de qual animal?;4;Elefante;Tigre;Rinoceronte;Cobra;N
Qual dos seguintes personagens é primo do Pato Donald?;3;Peninha;Zé Carioca;Patinhas;-;N
Qual das seguintes palavras pode ser digitada em uma única linha num teclado QWERTY padrão?;4;Salada;Queijo;Porco;Tela;N
Quanto vale pi?;3;3,14;3,47;4,52;-;N
Michelangelo, Salvador Dalí, Leonardo da Vinci. Quem pintou a Monalisa?;5;C;-;-;-;N
Estribo, Fíbia, Sacro. Qual é o menor osso do corpo humano?;5;A;-;-;-;N
"Theresa May, Angela Merkel, Margaret Thatcher. Que líder mundial ficou conhecida como ""Dama de Ferro""?";5;C;-;-;-;N
1967, 1988, 1989. Em que ano se deu a queda do muro de Berlim?;5;C;-;-;-;N
11, 8, 10. Quantas temporadas tem a série Friends?;5;A;-;-;-;N
Camelos, Cáfila, Cafareu. Qual o coletivo de camelo?;5;B;-;-;-;N
Hiroshima, Osaka, Nagasaki. Qual destas cidades não foi atingida pelas bombas atômicas?;5;B;-;-;-;N
Quantos integrantes tem o grupo de k-pop BTS?;3;Sete;Cinco;Oito;-;N
Qual elemento químico é representado pela sigla Ag na tabela periódica?;4;Prata;Ouro;Argônio;Alumínio;N
Em que ano aconteceu o acidente na Usina Nuclear de Chernobyl?;4;1986;1989;1982;1991;N
Em que ano surgiu a Internet?;3;1969;1959;1979;-;N
Quantos corações tem um polvo?;3;Três;Nenhum;Um;-;N
Quantas teclas tem um piano?;4;88;96;68;72;N
Quanto o Brasil pagou a Portugal para que eles reconhecessem a independência do país?;4;£ 2 milhões;£ 15 milhões;£ 500 mil;£ 100 mil;N
"Quem apresentava o programa ""Safenados e Safadinhos"", exibido pela Band nos anos 80?";3;Faustão;Luís Carlos Miele;Jô Soares;-;N
Que cantor já usou o pseudônimo de Mark Davis?;3;Fábio Júnior;Wanderley Cardoso;Reginaldo Rossi;-;N
Que espanhol famoso já jogou futebol no Real Madrid?;3;Julio Iglesias;Antonio Banderas;Pedro Almodóvar;-;N
Onde nasceu o compositor Mozart?;3;Áustria;Alemanha;França;-;N
Como se chama a medida inglesa equivalente a 30,48cm, usada principalmente na aeronáutica?;3;Pé;Polegada;Jarda;-;N
Qual o álbum dos Beatles em que eles aparecem descalços em uma faixa de pedestres?;3;Abbey Road;Before I Forget;Nevermind;-;N
A lambada é um estilo musical originário de qual país?;3;Brasil;Costa Rica;República Dominicana;-;N
"A ""estrada de tijolos amarelos"" pertence a qual famosa historinha infantil?";3;O Mágico de Oz;Cachinhos Dourados;Chapeuzinho Vermelho;-;N
"A frase ""América para os americanos"" está relacionada ao quê?";3;Doutrina Monroe;Revolução Russa;Independência dos EUA;-;N
Qual era a formação acadêmica de Juscelino Kubitschek?;3;Medicina;Direito;Engenharia;-;N
Se dividirmos um transferidor circular em 8 partes iguais, qual será o ângulo de cada uma dessas partes?;3;45°;60°;90°;-;N
Qual era a arte executada por Mikhail Baryshnikov?;3;Balé;Teatro;Artes plásticas;-;N
Que vegetal foi transformado pela fada madrinha da Cinderela em uma carruagem?;3;Abóbora;Jiló;Mandioca;-;N
A qual distância da Terra está o Sol?;3;8 minutos-luz;8 anos-luz;80 anos-luz;-;N
Como se chama a van na qual a turma de Scooby-Doo anda?;3;Máquina Mistério;Scooby-Car;Scooby-Van;-;N
Quem desenvolveu o primeiro revólver do mundo?;3;Samuel Colt;Charles Gun;Edward Winchester;-;N
Os produtos transgênicos têm qual parte alterada?;3;DNA;Endoplasma;Retículo Endoplasmático;-;N
Qual o nome do primeiro álbum lançado pela banda Guns and Roses?;3;Appetite for Destruction;Lies;Chinese Democracy;-;N
Onde nasceu Kareem Abdul-Jabbar?;3;Nova Iorque;Nova Jersey;Novo México;-;N
Na década de 80, que lutador freou a tentativa de Maguila de conseguir o título mundial?;3;Evander Holyfield;Mike Tyson;George Foreman;-;N
Qual é o maior peixe de água doce do Brasil?;3;Pirarucu;Bagre;Pacu;-;N
Qual escrita era utilizada pelo povo mesopotâmico?;3;Cuneiforme;Hieroglífica;Arábica;-;N
"Em que cidade italiana está localizado o monumento histórico ""Coliseu""?";3;Roma;Milão;Veneza;-;N
"Que país europeu é conhecido como ""Reino dos Países Baixos""?";3;Holanda;Noruega;Grécia;-;N
Na bandeira olímpica, o anel de que cor representa a América?;3;Vermelho;Amarelo;Verde;-;N
