pergunta;alternativas;resposta_certa;alternativa_1;alternativa_2;alternativa_3;embaralhar
Italiano, Latim, Romano. Qual era o idioma falado no antigo Império Romano?;5;B;Latim;Latim;Latim;N
11, 12 ou 13. A América do Sul tem quantos países?;5;B;-;-;-;N
Russa, Sueca ou Alemã. Qual era a nacionalidade da atriz Greta Garbo?;5;B;-;-;-;N
"Euclides da Cunha, Machado de Assis, José de Alencar. Quem escreveu ""Os Sertões""?";5;A;-;-;-;N
Vietnã, Tailândia ou Camboja. Qual país era o antigo Reino do Sião?;5;B;-;-;-;N
Espanha, Cuba ou Estados Unidos. Onde nasceu a cantora Jennifer Lopez?;5;C;-;-;-;N
Como se chama o especialista em insetos?;4;Entomologista;Ornitólogo;Palentologista;Insetólogo;N
Quantos astronautas morreram no desastre do ônibus espacial do Columbia?;4;7;6;5;8;N
Que alimento é rico em cálcio?;4;Leite;Feijão;Arroz;Macarrão;N
Em que novela Bruna Lombardi e Carlos Alberto Riccelli se conheceram?;4;Aritana;Saramandaia;Mandala;Tropicaliente;N
O que significa filarmônica?;4;Sociedade musical;Filhos da música;Grupo harmônico;Filhos da alegria;N
Em que ano foi inaugurado o Bondinho do Pão de Açúcar?;4;1912;1914;1920;1945;N
Bóris Iéltsin, Vladimir Putin, Igor Ivanov. Quem é o atual presidente da Rússia?;5;B;-;-;-;N
Boca, Estômago ou Faringe. Onde começa o processo de digestão nos seres humanos?;5;A;-;-;-;N
Brad Pitt, Ben Affleck, Johnny Depp. Que ator tatuou o nome da atriz Wynona Ryder no corpo?;5;C;-;-;-;N
Estados Unidos, Rússia ou Canadá. Qual é o maior país do mundo em área territorial?;5;B;-;-;-;N
10, 12 ou 15. Quantas repúblicas formavam a antiga União Soviética?;5;C;-;-;-;N
Tirou as calças, vaiou o público ou queimou a guitarra. O que fez Jimi Hendrix em 1967?;5;C;-;-;-;N
"De quem é a frase ""Meu reino por um cavalo""?";4;Ricardo III;Henrique VIII;Francisco I;Luís XVI;N
Com que pedra preciosa está associada a profissão de advogado?;3;Rubi;Esmeralda;Safira;-;N
Equador, Colômbia ou Panamá. Onde é feito o chapéu conhecido como Panamá?;5;A;-;-;-;N
Nova York, São Francisco ou Chicago. Onde fica a ponte Golden Gate?;5;B;-;-;-;N
Monica Seles, Steffi Graf ou Gabriela Sabatini. Com quem é casado o tenista André Agassi?;5;B;-;-;-;N
Gibraltar, Bering ou Bósforo. Que estreito separa a Europa da Ásia?;5;C;-;-;-;N
34, 44 ou 54. Quantos dias tinha Pedro Álvares Cabral levou para chegar ao Brasil, de Portugal?;5;B;-;-;-;N
1923, 1928 ou 1931. Em que ano o Empire State foi inaugurado?;5;C;-;-;-;N
183, 203, 223. Quantos milhões de habitantes tem o Brasil?;5;B;-;-;-;N
13, 15 ou 18. Com cerca de quantos anos Cleópatra se tornou rainha do Egito?;5;C;-;-;-;N
"4, 7 ou 10. Quantos anos Leonardo da Vinci levou para pintar o quadro ""Mona Lisa""?";5;A;-;-;-;N
Rúpia, Rial ou Dinar. Qual é a moeda do Iraque?;5;C;-;-;-;N
Nova Jersey, Califórnia ou Virgínia. Em que estado americano nasceu Frank Sinatra?;5;A;-;-;-;N
França, Reino Unido ou Arábia. Onde nasceu Lawrence da Arábia?;5;B;-;-;-;N
Havaí, Austrália ou Nova Zelândia. Onde nasceu a atriz Nicole Kidman?;5;A;-;-;-;N
Portugal, Brasil ou França. Onde nasceu Dom Pedro II?;5;B;-;-;-;N
200, 300, 350. Qual é a pontuação máxima de um jogo de boliche?;5;B;-;-;-;N
Oxigênio, Hidrogênio ou Nitrogênio. Qual gás é usado para encher o pneu dos aviões?;5;C;-;-;-;N
Nepal, Paquistão ou Argentina. Onde fica a montanha K2, a mais perigosa do mundo?;5;B;-;-;-;N
329, 354 ou 402. Quantos dias tem o ano no calendário muçulmano?;5;B;-;-;-;N
Áspide, Anaconda ou Coral. Que tipo de cobra matou Cleópatra?;5;A;-;-;-;N
3, 4, 5. Ao todo, quantas medalhas Nadia Comaneci ganhou nas Olimpíadas?;5;C;-;-;-;N
"Stephen King, Agatha Christie ou Edgar Allan Poe. Quem escreveu ""Os Assassinatos na Rua Morgue""?";5;C;-;-;-;N
"Portinari, Monet ou Picasso. Quem pintou os murais ""Guerra e Paz"" na ONU?";5;A;-;-;-;N
São Vicente, Rio de Janeiro ou Salvador. Qual é a cidade mais antiga?;5;A;-;-;-;N
Metanol, Etanol, Carbonato. O álcool usado como combustível é uma mistura de água com:;5;B;-;-;-;N
"Michelangelo, Auguste Rodin, Victor Brecheret. Quem é o autor da escultura ""O Pensador""?";5;B;-;-;-;N
Dom Pedro I, Marechal Deodoro, Getúlio Vargas. Quem deu o primeiro golpe de estado do Brasil?;5;B;-;-;-;N
Paris, Berlim, Helsinque. Em que Olimpíada foi instituída a tradição da tocha olímpica?;5;B;-;-;-;N
Vitamina C, Vitamina E, Vitamina B2. Qual destas vitaminas é a riboflavina?;5;C;-;-;-;N
Joe Shuster, Bob Kane ou Stan Lee. Quem foi o criador de Batman?;5;B;-;-;-;N
Petrofibra, Elastano ou Poliamida. Qual é a nomenclatura técnica do nylon?;5;C;-;-;-;N
Partenon, Coliseu ou Esfinge. Que construção grega fica na Acrópole de Atenas?;5;A;-;-;-;N
Poodle, Fox Terrier ou Beagle. Qual a raça da cadela Laika, o 1º animal a orbitar a Terra?;5;B;-;-;-;N
1989, 1991 ou 1993. Em que ano ocorreu o fim da União Soviética?;5;B;-;-;-;N
Acrofobia, Ptesiofobia ou Aerofobia. Como se chama o medo de viajar de avião?;5;B;-;-;-;N
Qual foi a novela mais longa da TV brasileira?;4;Redenção;Irmãos Coragem;Terra Nostra;Pantanal;N
"40, 50, 60. Quantos anos a música ""Garota de Ipanema"" completou em 2022?";5;C;-;-;-;N
Alemanha, Inglaterra ou Suíça. Onde a Cruz Vermelha foi fundada?;5;C;-;-;-;N
Dallas, Washington ou Nova York. Onde o presidente John Kennedy foi assassinado?;5;A;-;-;-;N
1947, 1953, 1958. Em que ano o raio laser foi inventado?;5;B;-;-;-;N
Páprica, Cominho ou Açafrão. Como é conhecido o tempero feito com pimentão vermelho?;5;A;-;-;-;N
Samarra, Gamarra ou Navarra. Como é chamada a roupa feita de pele de ovelha?;5;A;-;-;-;N
1950, 1955 ou 1960. Em que ano foi inaugurada a Disneylândia na Califórnia?;5;B;-;-;-;N
Felix Hoffmann, Albert Sabin, Alfred Nobel. Quem sintetizou a aspirina?;5;A;-;-;-;N
1957, 1958, 1959. Em que ano Fidel Castro tomou posse em Cuba?;5;C;1959;1959;1959;N
Atacama, Saara, Mongólia. Qual é o deserto mais seco da Terra?;5;A;Atacama;Atacama;Atacama;N
Tiziu, Gasolina, Dondinho. Qual foi o primeiro apelido futebolístico de Pelé?;5;B;-;-;-;N
"5, 7, 10. Quantas vezes a palavra ""Brasil"" aparece no Hino Nacional?";5;C;-;-;-;N
35, 45 ou 50. Com quantos anos Tiradentes foi enforcado?;5;B;-;-;-;N
40, 41 ou 42. Qual o tamanho do primeiro pé que pisou na Lua?;5;B;-;-;-;N
Europa, Ásia ou África. Onde fica o Azerbaijão?;5;A;-;-;-;N
Ubatuba, Búzios ou Parati. Qual cidade é cortada pelo Trópico de Capricórnio?;5;A;-;-;-;N
Sergipe, Bahia ou Alagoas. Onde nasceu o escritor Jorge Amado?;5;B;-;-;-;N
Europa, Ásia ou África. Qual é o maior continente do mundo?;5;B;-;-;-;N
35, 42 ou 50. Com quantos anos Elvis Presley morreu?;5;B;-;-;-;N
Londres, Nova York ou Paris. Que cidade tem o maior metrô do mundo em extensão?;5;B;-;-;-;N
Índia, Rússia ou Islândia. O rublo é a moeda de que país?;5;B;-;-;-;N
Bahia, Pernambuco ou Minas Gerais. Onde nasce o Rio São Francisco?;5;C;-;-;-;N
Elefante, Gorila ou Baleia. Qual é o maior mamífero existente?;5;C;-;-;-;N
Aconcágua, Kilimanjaro ou Everest. Qual é a montanha mais alta do mundo?;5;C;-;-;-;N
"Italiana, Uruguaia ou Francesa. Que seleção de futebol é conhecida como ""Celeste Olímpica""?";5;B;-;-;-;N
Índia, Tailândia ou China. O elefente é o símbolo nacional de qual país?;5;B;-;-;-;N
Maui, Molokai ou Oahu. Em que ilha está localizada a capital do Havaí?;5;C;-;-;-;N
"Mangueira, Portela ou Salgueiro. Qual escola de samba é conhecida como ""Verde e Rosa""?";5;A;-;-;-;N
Hidrogênio, Oxigênio ou Nitrogênio. Qual gás existe em maior quantidade na atmosfera?;5;C;-;-;-;N
4, 5, 6. Quantos generais governaram o Brasil no regime militar?;5;B;-;-;-;N
Estados Unidos, Inglaterra ou Austrália. Em que país nasceu o ator Mel Gibson?;5;A;-;-;-;N
Nova Iorque, Washington, Londres. Onde fica a sede do FMI?;5;B;-;-;-;N
Lima Duarte, Chico Anysio, Walmor Chagas. Quem é o tio do ator Marcos Palmeira?;5;B;-;-;-;N
Sócrates, Platão ou Aristóteles. Qual destes filósofos é o mais antigo?;5;A;-;-;-;N
"Pedro Américo, Di Cavalcanti ou Portinari. De quem é o quadro ""Independência ou Morte""?";5;A;-;-;-;N
Paraíba, Pernambuco ou Pará. Qual destes estados é cortado pela linha do Equador?;5;C;-;-;-;N
Alemanha, Áustria ou Hungria. Onde nasceu Freud, o pai da Psicanálise?;5;B;-;-;-;N
1946, 1961 ou 1964. Em que ano foi construído o Muro de Berlim?;5;B;-;-;-;N
Michael Jordan, Wilt Chamberlain ou Magic Johnson. Quem fez 100 pontos num jogo de basquete?;5;B;-;-;-;N
Polônia, Hungria ou Alemanha. Em que país, na verdade, nasceu Elke Maravilha?;5;C;-;-;-;N
4, 5, 6. Quantas vezes Lula foi candidato à presidência do Brasil?;5;C;-;-;-;N
Piracucu, Jaú ou Pintado. Qual é o maior peixe de água doce do mundo?;5;A;-;-;-;N
Endrick, Vinícius Júnior ou Bellingham. Qual jogador usa atualmente a camisa 5 do Real Madrid?;5;C;-;-;-;N
"Índia, Vietnã ou Coreia do Sul. Que país é um dos ""Tigres Asiáticos""?";5;C;-;-;-;N
Zâmbia, Somália ou Paquistão. O urdu é idioma oficial de qual país?;5;C;-;-;-;N
Hialúrgico, Vitreolúrgico ou Silicolúrgico. Que nome recebe o indivíduo que fabrica vidros?;5;A;-;-;-;N
Alemanha, Itália ou Japão. Qual destes países tem regulamentada a pena de morte?;5;C;-;-;-;N
Demi Moore, Wynona Ryder ou Sandra Bullock. Que atriz saiu grávida e nua na capa de uma revista?;5;A;-;-;-;N
"Alec, William ou Stephen Baldwin. Quem é o par de Sharon Stone no filme ""Invasão de Privacidade""?";5;B;-;-;-;N
Donald Tusk, Charles Michel ou António Costa. Quem tomará posse como Presidente do Conselho Europeu da UE?;5;C;-;-;-;N
Leve, Galo ou Mosca. Em que categoria Éder Jofre foi campeão mundial de boxe em 1960?;5;B;-;-;-;N
85, 90 ou 95. Com quantos anos morreu Nelson Mandela?;5;C;-;-;-;N
Andes, Pirineus ou Himalaia. Onde fica o Monte Evereste?;5;C;-;-;-;N
3, 8 ou 11. Quantos ossos tem o ouvido humano?;5;A;-;-;-;N
"Quem dirigiu o filme ""Cidade de Deus""?";3;Fernando Meirelles;Cacá Diegues;Hector Babenco;-;N
Basquete, Vôlei ou Natação. Em qual esporte Ricardo Prado se destacou?;5;C;-;-;-;N
Carlota Pereira, Benedita da Silva ou Zélia Cardoso. Quem foi a primeira mulher a ser eleita deputada federal do Brasil?;5;A;-;-;-;N
Albatroz, Papagaio ou Condor. Qual é a ave voa mais alto?;5;C;-;-;-;N
Tempestade, Onda ou Correnteza. O que é uma trabuzana?;5;A;-;-;-;N
Verde e Azul, Verde e Branca ou Azul e Branca. Quais as cores da bandeira da Nigéria?;5;B;-;-;-;N
Antilhas, Caribe ou Sul da Austrália. Onde ficam as Ilhas Cayman?;5;B;-;-;-;N
BR-101, BR-116, BR-040. Que rodovia corta o litoral brasileiro?;5;A;-;-;-;N
Quem é o amigo do Popeye que gosta de comer hambúrguer?;3;Dudu;Leôncio;Zeca Urubu;-;N
Quantos anos tinha Marilyn Monroe quando morreu?;4;36 anos;32 anos;40 anos;42 anos;N
"Quem interpreta o líder dos escravos no filme ""Spartacus"", de 1960?";3;Kirk Douglas;Victor Mature;Gregory Peck;-;N
"No humorístico ""Família Trapo"", quem fazia o personagem ""Bronco""?";3;Ronald Golias;Jô Soares;Chico Anysio;-;N
No zodíaco, que signo vem depois de Touro?;3;Gêmeos;Peixes;Leão;-;N
"Que atriz foi protagonista da novela ""Escrava Isaura""?";3;Lucélia Santos;Vera Fischer;Tônia Carrero;-;N
Qual é a profissão de Stella McCartney, filha de Paul McCartney?;3;Estilista;Fotógrafa;Escritora;-;N
O que faz o marido de Suzana Werner?;3;Jogador de futebol;Ator;Músico;-;N
Qual é a profissão do Professor Pardal?;3;Inventor;Eletricista;Mecânico;-;N
Que esporte pratica Michael Jordan?;3;Basquete;Vôlei;Tênis;-;N
Qual artista de televisão é dono de um circo?;3;Marcos Frota;Miguel Falabella;Guilherme Fontes;-;N
Que casal deu o primeiro beijo na televisão brasileira?;3;Vida Alves e Walter Forster;Carlos Zara e Hebe Camargo;Tarcísio Meira e G. Menezes;-;213
Ivete Sangalo fez parte de que grupo?;4;Banda Eva;Chiclete com Banana;É o Tchan;Araketu;N
No cinema, quem fez o papel de Indiana Jones?;4;Harrison Ford;Michael Douglas;Bruce Willis;Nicholas Cage;N
Como se chama a massagem para eliminação de resíduos das células?;4;Drenagem linfática;Mesoterapia;Corrente russa;Endermoterapia;N
"Quem foi o apresentador do programa ""O Céu é o Limite""?";4;Jota Silvestre;Flávio Cavalcanti;Blota Júnior;Silvio Santos;N
Os Bee Gees são originários de qual país?;4;Inglaterra;Escócia;Estados Unidos;Austrália;N
Que personagem das histórias em quadrinhos é conhecido por ser pão-duro?;4;Tio Patinhas;Mickey;Pato Donald;Pateta;N
Com quem Malu Mader é casada?;4;Tony Belotto;Alexandre Frota;Pedro Bial;Paulo Zulu;N
Na falta de carboidratos, o que o organismo usa para conseguir energia?;4;Gorduras;Proteínas;Vitaminas;Minerais;N
Qual músico foi parceiro do escritor Paulo Coelho?;4;Raul Seixas;Erasmo Carlos;Roberto Carlos;Lobão;N
Em que praia carioca foi inaugurada uma estátua em homenagem a Carlos Drummond de Andrade?;4;Copacabana;Leblon;Ipanema;Barra da Tijuca;N
Quem interpretou Dona Beija na novela da extinta Rede Manchete?;3;Maitê Proença;Bruna Lombardi;Vera Fischer;-;N
O cantor Rodriguinho fazia parte de que grupo?;3;Os Travessos;Harmonia do Samba;Exaltasamba;-;N
Qual dos itens não é um legume?;3;Escarola;Berinjela;Vagem;-;N
Como é conhecido quem nasce na cidade de Salvador, Bahia?;3;Soteropolitano;Salvadorenho;Salvadeirense;-;N
O que se usa para pintar os cílios?;3;Rímel;Lápis;Delineador;-;N
O que significa acepipe?;3;Petisco;Molho;Tempero;-;N
Onde nasceu a escritora Isabel Allende?;3;Chile;Argentina;Peru;-;N
Em qual destes times Ronaldinho Gaúcho já jogou?;3;PSG;Internazionale;Real Madrid;-;N
Qual é a principal função do sommelier no restaurante?;3;Orienta clientes sobre os vinhos;Comanda a cozinha;Recepciona os clientes;-;N
Em que século o Brasil foi descoberto?;4;Século XV;Século XIV;Século XVI;Século XVII;2134
Qual desses animais bota o maior ovo?;4;Avestruz;Ganso;Jacaré;Tartaruga;N
"Quem escreveu o verso ""Tudo vale a pena se a alma não é pequena?""";4;Fernando Pessoa;Eça de Queirós;José Samarago;Luís de Camões;N
"Que arte marcial significa ""mãos vazias""?";4;Karatê;Aikidô;Jiu-jitsu;Judô;N
Qual estado brasileiro é o maior produtor de sal?;4;Rio Grande do Norte;Ceará;Rio de Janeiro;Bahia;N
Bentinho e Capitu são personagens de qual livro de Machado de Assis?;4;Dom Casmurro;Iaiá Garcia;Quincas Borba;A mão e a luva;N
Qual compositor clássico era surdo?;4;Beethoven;Strauss;Vivaldi;Bach;N
Qual o número de Dick Vigarista na Corrida Maluca?;4;00;07;01;22;N
Dinda, Maria, Canô. Quem é a mãe de Caetano Veloso?;5;C;-;-;-;N
5, 7, 9. Quantos pontos vale uma infração gravíssima de trânsito?;5;B;-;-;-;N
Irlanda, Escócia, Inglaterra. Em que país nasceu o ator Sean Connery?;5;B;-;-;-;N
Istambul, Bombaim, Ancara. Qual o nome atual da antiga cidade de Constantinopla?;5;A;-;-;-;N
Golfe, Tênis, Beisebol. O que pratica Tiger Woods?;5;A;-;-;-;N
Irlanda, Inglaterra, Canadá. O meridiano de Greenwich tem origem em que país?;5;B;-;-;-;N
Alumínio, Lítio, Cromo. Qual é o mais leve dos metais?;5;B;-;-;-;N
1959, 1960, 1961. Em que ano Éder Jofre ganhou o título mundial dos galos?;5;B;-;-;-;N
França, Argentina ou Espanha. Onde nasceu o cantor de tango Carlos Gardel?;5;A;-;-;-;N
1969, 1978 ou 1988. Em que ano foi promulgada a constituição em vigor no Brasil?;5;C;-;-;-;N
China, Índia ou Irã. Onde fica o Rio Ganges?;5;B;-;-;-;N
Alagoas, Maranhão, Pernambuco. Em que estado nasceu Lampião?;5;C;-;-;-;N
2, 4, 5. Quanto é 1/5 da metade de 20?;5;A;-;-;-;N
Portugal, Espanha ou França. O minueto é uma dança originária de que país?;5;C;-;-;-;N
Holanda, Bélgica ou Suíça. Onde fica a Corte Penal Internacional?;5;A;-;-;-;N
"Quem compõs o sucesso ""O que é que a baiana tem""?";3;Dorival Caymmi;Ary Barroso;Lamartine Babo;-;N
Em qual destes filmes o protagonista é cego?;3;Perfume de Mulher;Cidade dos Anjos;Veludo Azul;-;N
Nas histórias em quadrinhos, qual o nome do animal de estimação da Magali?;3;Mingau;Bidu;Floquinho;-;N
Além de ator, que outra ocupação o comediante Rogério Cardoso teve quando era vivo?;3;Vereador;Pintor;Cameraman;-;N
Quantos anos Mick Jagger completou em 2025?;3;82;80;76;-;N
Em que ano Ayrton Senna ganhou seu primeiro campeonato de Fórmula 1?;3;1988;1989;1990;-;123
Quem inventou o revólver?;3;Samuel Colt;Pietro Beretta;Joseph Taurus;-;N
Elvis Presley fez quantos filmes como ator?;3;31;33;29;-;N
Qual era a profissão do ex-presidente americano Ronald Reagan antes de ser político?;4;Ator;Advogado;Fazendeiro;Médico;N
Qual foi o último time de David Beckham?;4;Paris Saint-Germain;Milan;LA Galaxy;Real Madrid;N
Qual é o nome do primeiro filme inteiramente falado feito por Charles Chaplin?;4;O Grande Ditador;Tempos Modernos;O Garoto;Luzes da Ribalta;N
Qual é a idade mínima para ser vereador no Brasil?;4;18 anos;21 anos;25 anos;28 anos;1234
Hamlet, personagem de Shakespeare, era príncipe de qual país?;4;Dinamarca;Suécia;Suíça;França;N
Que país é o maior produtor mundial de ouro?;4;China;Canadá;Estados Unidos;Rússia;N
Qual é o drinque preferido do personagem James Bond?;4;Dry Martini;Alexander;Bloody Mary;Daiquiri;N
Qual é o nome artístico do cantor Jair Alves de Souza?;4;Jerry Adriani;Jair Rodrigues;Juca Chaves;Jamelão;N
A atriz Lizandra Souto foi casada com qual jogador de vôlei?;3;Tande;Giovane;Maurício;-;N
"Quem foi o diretor do filme ""Tubarão""?";3;Steven Spielberg;James Cameron;John Woo;-;N
Que mulheres mitológicas eram guerreiras e amputavam o seio direito?;3;Amazonas;Valquírias;Medusas;-;N
Qual é o ponto turístico mais visitado do mundo?;3;Torre Eiffel;Big Ben;Empire State;-;N
Qual o nome de batismo do boxeador Muhammad Ali?;3;Cassius Clay;George Foreman;Joe Louis;-;N
"No filme ""As Panteras"", quem faz o papel de Natalie?";3;Cameron Diaz;Lucy Liu;Drew Barrymore;-;N
Os cidadãos de que país estão isentos de impostos?;3;Mônaco;Suécia;Suíça;-;N
"Qual era a profissão de Antoine de Saint-Exupéry, autor de ""O Pequeno Príncipe""?";3;Aviador;Médico;Jornalista;-;N
Qual foi o primeiro cantor do mundo a gravar uma música em disco?;4;Enrico Caruso;Carlos Gardel;Francisco Alves;Vicente Celestino;N
Em que cidade mineira nasceu a dançarina Scheila Carvalho?;4;Juiz de Fora;Uberlândia;Uberaba;Belo Horizonte;N
"O seriado ""Chaves"" foi produzido em qual país latino-americano?";4;México;Argentina;Chile;Venezuela;N
"Qual ator fez o papel principal no filme ""O Homem da Máscara de Ferro""?";4;Leonardo di Caprio;Keanu Reeves;Brad Pitt;Tom Hanks;N
Do que tem medo a pessoa que sofre de triscedecofobia?;4;Número 13;Espelho;Escadas;Gato preto;N
Salomão Ayala foi personagem de qual novela dos anos 70?;4;O Astro;Pecado Capital;Carinhoso;Selva de Pedra;N
A ilha de Marajó pertence a qual estado?;4;Pará;Amazonas;Maranhão;Paraíba;N
Qual era o nome do corcunda de Notre-Dame?;4;Quasímodo;Igor;Gárgula;Cérbero;N
Qual das flores é símbolo do México?;4;Dália;Orquídea;Tulipa;Rosa;N
Qual compositor quebrou e atirou o violão contra a plateia no Festival da MPB de 1967?;3;Sérgio Ricardo;Geraldo Vandré;Edu Lobo;-;N
Como se chamam as madeiras em que os trilhos de trem se apoiam?;3;Dormentes;Estacas;Esteiras;-;N
Qual navegador descobriu a ilha de Fernando de Noronha?;3;Américo Vespúcio;Cristóvão Colombo;Pedro Álvares Cabral;-;N
Que emissora exibiu o primeiro Festival da Música Popular Brasileira?;3;Excelsior;Record;Tupi;-;N
Qual foi o país escolhido para sediar a Copa do Mundo de 2006?;3;Alemanha;Holanda;África do Sul;-;N
Em qual cidade nasceu a apresentadora Hebe Camargo?;4;Taubaté;Avaré;Guaxupé;Tremembé;N
Charada é o inimigo de qual super-herói?;4;Batman;Super-Homem;Aquaman;Capitão América;N
O Titanic zarpou com destino a qual cidade?;4;Nova York;Orlando;Lisboa;Cidade do Cabo;N
Quantos pinos tem o jogo de boliche?;4;10 pinos;8 pinos;12 pinos;9 pinos;N
"Qual destas atrizes é a protagonista do filme ""O Especialista""?";4;Sharon Stone;Angelina Jolie;Nicole Kidman;Julia Roberts;N
Qual o nome do barco oceanográfico usado por Jacques Costeau?;4;Calypso;Antares;Besnard;Atlantis;N
O músico Sivuca é mestre em tocar qual instrumento?;4;Sanfona;Violão;Violino;Piano;N
Como se chama o sargento que perseguia incansavelmente o Zorro?;4;Garcia;Diego;Bernardo;Jerônimo;N
Em que cidade norte-americana o presidente John Kennedy foi assassinado?;4;Dallas;Chicago;Detroit;Boston;N
O personagem Conde Drácula é originário de onde?;4;Transilvânia;Pensilvânia;Louisiana;Nova Zelândia;N
"Qual o nome do personagem de Stênio Garcia na série ""Carga Pesada""?";3;Bino;Pedro;Biro;-;N
Que filme brasileiro concorreu ao Oscar de melhor filme estrangeiro em 1996?;3;O Quatrilho;Central do Brasil;A Partilha;-;N
Quantos títulos o piloto alemão Michael Schumacher conquistou na Fórmula 1?;3;7 títulos;6 títulos;5 títulos;-;321
Qual é o nome do primeiro animal a viajar para o espaço?;3;Laika;Lassie;Milka;-;N
"Quantos quilos o ator Tom Cruise engordou para estrelar o filme ""O Último Samurai""?";3;9 quilos;12 quilos;6 quilos;-;N
Em que ano Vera Fischer foi eleita Miss Brasil?;3;1969;1971;1973;-;N
Qual é a maior espécie de baleia?;3;Azul;Jubarte;Cachalote;-;N
Quantos atores interpretaram o agente 007, James Bond?;3;6 atores;5 atores;4 atores;-;N
Com qual jogador de futebol a ex-Spice Girl, Victoria, é casada?;3;David Beckham;Zinedine Zidane;Christian Vieri;-;N
"Qual personagem o ator Lima Duarte interpretou na novela ""O Salvador da Pátria""?";3;Sassá Mutema;Salviano Lisboa;Sinhozinho Malta;-;N
Com qual imperador romano a rainha do Egito, Cleópatra, teve seu primeiro filho?;4;Júlio César;Marco Antônio;Pompeu;Augusto;N
Julia Roberts ganhou o Oscar de Melhor Atriz em 2001 por sua atuação em qual filme?;4;Erin Brockovich;Linha Mortal;Noiva em Fuga;Uma Linda Mulher;N
"Qual era a raça do cão ""Rin Tin Tin""?";4;Pastor Alemão;Rusk;Labrador;Dog Alemão;N
Em que filme a modelo Gisele Bündchen fez sua estreia no cinema?;4;Táxi;Top Sexy;Models;Passarela;N
Que estrela de Hollywood tinha o verdadeiro nome de Norma Jeane?;4;Marilyn Monroe;Greta Garbo;Vivien Leigh;Ingrid Bergman;N
Qual dessas partes regula a entrada de luz nos olhos?;4;Pupila;Retina;Íris;Cristalino;N
A modelo Cindy Crawford foi casada com qual ator?;4;Richard Gere;Bruce Willis;Mickey Rourke;Al Pacino;N
Segundo a Forbes, quem foi a atriz mais bem paga do mundo em 2025?;4;Nicole Kidman;Scarlett Johansson;Emma Stone;Cameron Diaz;N
Em que ano Frank Sinatra cantou no estádio do Maracanã?;4;1980;1978;1982;1984;2134
Zerbini, Adib Jatene ou Emílio Ribas. Qual foi o médico que fez o primeiro implante de ponte de safena do Brasil?;5;B;-;-;-;N
Pernambuco, Alagoas, Ceará. Onde surgiu a dança do frevo?;5;A;-;-;-;N
Como se chama o tratamento com banho de água de mar?;3;Talassoterapia;Hidroterapia;Termoterapia;-;N
De onde se retira a tapioca?;3;Mandioca;Trigo;Milho;-;N
Qual é o outro nome da vitamina C?;3;Ácido ascórbico;Ácido acetilsalicílico;Ácido acético;-;N
Quem interpretou Flor no filme “Dona Flor e seus dois maridos” em 1976?;3;Sônia Braga;Betty Faria;Marília Pêra;-;N
“Governar é abrir estradas”: Qual presidente adotou este lema?;3;Washington Luís;Juscelino Kubitschek;Getúlio Vargas;-;N
Quem é o autor da escultura conhecida como “Pietà”?;3;Michelangelo;Leonardo da Vinci;Auguste Rodin;-;N
Quem inventou o relógio de pulso?;3;Santos Dumont;Jean Piaget;Thomas Edison;-;N
Quem escreveu “Meu Pé de Laranja Lima”?;3;José Mauro de Vasconcelos;Monteiro Lobato;Maria Clara Machado;-;N
Qual jogador tem o sobrenome de “Nazário de Lima”?;3;Ronaldo;Rivaldo;Romário;-;N
Qual é a música mais conhecida de Zequinha de Abreu?;3;Tico-tico no Fubá;Ô Abre-Alas;Aquarela do Brasil;-;N
Como se chama o especialista em tratamento de canal dos dentes?;4;Endodontista;Periodontista;Ortodontista;Proctodontista;N
Onde fica a praia de Itacaré?;4;Bahia;Pernambuco;Ceará;Espírito Santo;N
O inseto conhecido como “barbeiro” é o transmissor de qual doença?;4;Mal de Chagas;Malária;Dengue;Meningite;N
Qual o apelido de Amyr Klink?;4;Navegador Solitário;Velejador Solitário;Viajante Solitário;Navegante Solitário;N
Ao que se refere o “bouquet” de um vinho?;4;Odor;Cor;Sabor;Tipo de uva;N
Qual desses clubes de futebol é conhecido como “Furacão”?;4;Atlético Paranaense;Santa Cruz;Grêmio;Remo;N
Quem escreveu a novela “Selva de Pedra”?;4;Janete Clair;Gilberto Braga;Glória Perez;Lauro César Muniz;
França, Uruguai ou Alemanha. Onde foi a primeira Copa do Mundo de futebol?;5;B;-;-;-;N
25, 26, 27. Quantas estrelas tem a bandeira do Brasil?;5;C;-;-;-;N
Freud, Sócrates ou Maquiavel. De quem é a frase “Os fins justificam os meios”?;5;C;-;-;-;N
Homero, Virgílio ou Ovídio. Quem escreveu “Eneida”?;5;B;-;-;-;N
Assírios, Sumérios ou Egípcios. Quem inventou a escrita?;5;B;-;-;-;N
Luís XIV, Luís XV, Luís XVI. Que rei era conhecido como o Rei Sol?;5;A;-;-;-;N
Qual o significado da palavra “ibirapuera” em tupi-guarani?;3;Madeira podre;Rio pequeno;Terras Alagadas;-;N
Qual é a matéria-prima do vidro?;3;Areia;Quartzo;Barro;-;N
Qual a identidade secreta do Super-Homem?;3;Clark Kent;Peter Parker;Bruce Wayne;-;N
Que espaçonave levou Neil Armstrong à Lua em 1969?;3;Apollo 11;Apollo 9;Apollo 13;-;213
Qual era o verdadeiro nome de Marilyn Monroe?;3;Norma Jean;Elizabeth Baker;Marilyn Brunette;-;N
